PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Department,Order Month,Spend,Lead Time (Days),Qty_LeadTime_Interaction,Cost_per_Unit,Markup_%,High_Markup_Flag,PPI
PO-00014,Beta_Supplies,2022-02-02,2022-02-13,MRO,Delivered,5000,18.3,16.88,74.8034321372855,Yes,Logistics,2022-02,84400.0,10.776811594202899,53884.057971014496,16.88,0.0,False,290.327
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,Finance,2022-01,242250.0,18.0,90000.0,48.45,0.0,False,125.904
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,MRO,Delivered,5000,15.41,15.12,74.8034321372855,Yes,Logistics,2022-04,75600.0,15.0,75000.0,15.12,0.0,False,298.74
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,Electronics,Delivered,1173,61.54,55.49,172.0,No,Finance,2022-08,65089.770000000004,19.0,22287.0,55.49,0.0,False,130.969
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Metals,Delivered,921,51.48,50.61,74.8034321372855,Yes,Maintenance,2022-08,46611.81,8.0,7368.0,50.61,0.0,False,374.122
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Metals,Partially Delivered,1737,97.53,87.37,79.0,Yes,Production,2023-06,151761.69,3.0,5211.0,87.37,0.0,False,348.799
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Food Products,Delivered,180,45.74,38.89,74.8034321372855,No,Finance,2023-09,7000.2,15.0,2700.0,38.89,0.0,False,194.918
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Packaging,Cancelled,1735,20.54,19.69,49.0,Yes,Logistics,2022-01,34162.15,15.0,26025.0,19.69,0.0,False,271.18
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Metals,Delivered,1382,24.93,23.75,74.8034321372855,Yes,Maintenance,2023-07,32822.5,13.0,17966.0,23.75,0.0,False,335.16
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,Office Supplies,Delivered,819,80.89,77.03,29.0,Yes,Finance,2022-07,63087.57,16.0,13104.0,77.03,0.0,False,236.704
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Services,Partially Delivered,393,72.53,66.31,42.0,No,Production,2023-10,26059.83,6.0,2358.0,66.31,0.0,False,106.213
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,Food Products,Delivered,1565,21.3,20.09,161.0,Yes,Production,2023-12,31440.85,12.0,18780.0,20.09,0.0,False,190.589
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Food Products,Delivered,1487,19.15,17.24,74.8034321372855,Yes,Procurement,2023-07,25635.879999999997,11.0,16357.0,17.24,0.0,False,226.695
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,Metals,Delivered,855,78.2,67.16,17.0,Yes,Procurement,2023-03,57421.799999999996,20.0,17100.0,67.16,0.0,False,340.753
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Services,Delivered,435,17.13,15.84,8.0,Yes,Logistics,2022-08,6890.4,9.0,3915.0,15.84,0.0,False,104.113
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,Food Products,Delivered,1265,90.26,79.47,187.0,Yes,Finance,2023-04,100529.55,17.0,21505.0,79.47,0.0,False,270.26
PO-00030,Epsilon_Group,2023-08-27,2022-02-13,Packaging,Delivered,1005,80.55,73.31,30.0,Yes,Finance,2023-08,73676.55,10.776811594202899,10830.695652173914,73.31,0.0,False,283.665
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Office Supplies,Delivered,326,18.1,15.92,74.8034321372855,No,Procurement,2022-10,5189.92,14.0,4564.0,15.92,0.0,False,252.599
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Packaging,Delivered,1234,17.64,15.66,26.0,Yes,Finance,2022-01,19324.44,8.0,9872.0,15.659999999999998,-1.134327483652778e-14,False,271.18
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,Manufacturing,Delivered,509,101.27,97.82,19.0,Yes,Finance,2022-06,49790.38,16.0,8144.0,97.82,0.0,False,305.793
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Manufacturing,Delivered,1387,48.71,43.71,27.0,Yes,Production,2023-12,60625.770000000004,1.0,1387.0,43.71,0.0,False,332.137
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,Raw Materials,Delivered,71,46.39,43.18,0.0,Yes,Procurement,2023-03,3065.78,8.0,568.0,43.18,0.0,False,328.228
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Food Products,Delivered,302,87.73,81.52,9.0,Yes,Maintenance,2022-12,24619.039999999997,8.0,2416.0,81.52,0.0,False,270.886
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Manufacturing,Pending,797,99.54,91.37,18.0,Yes,Procurement,2022-10,72821.89,19.0,15143.0,91.37,0.0,False,313.525
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Metals,Pending,906,101.21,90.9,94.0,Yes,Maintenance,2022-06,82355.40000000001,18.0,16308.0,90.9,0.0,False,412.324
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Raw Materials,Delivered,1634,80.53,76.15,50.0,Yes,Production,2022-08,124429.1,14.0,22876.0,76.15,0.0,False,358.093
PO-00040,Epsilon_Group,2022-12-11,2022-02-13,Services,Delivered,524,46.28,39.65,14.0,Yes,Logistics,2022-12,20776.6,10.776811594202899,5647.049275362319,39.65,0.0,False,104.541
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Chemicals,Delivered,1132,17.78,15.36,96.0,Yes,Finance,2022-04,17387.52,12.0,13584.0,15.360000000000001,1.1564823173178714e-14,False,399.403
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Packaging,Delivered,560,81.14,77.87,34.0,No,Production,2022-04,43607.200000000004,9.0,5040.0,77.87,0.0,False,281.578
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Food Products,Delivered,1755,63.87,58.4,85.0,Yes,Finance,2023-01,102492.0,8.0,14040.0,58.4,0.0,False,268.915
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,Raw Materials,Delivered,1549,48.9,42.42,48.0,Yes,Logistics,2022-04,65708.58,7.0,10843.0,42.42,0.0,False,358.784
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,Electronics,Delivered,749,97.07,94.16,123.0,Yes,Logistics,2023-01,70525.84,18.0,13482.0,94.16,0.0,False,133.728
PO-00046,Alpha_Inc,2022-12-19,2022-02-13,Manufacturing,Delivered,1025,21.11,19.25,15.0,Yes,Production,2022-12,19731.25,10.776811594202899,11046.231884057972,19.25,0.0,False,315.868
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Packaging,Delivered,1856,59.77,50.81,191.0,Yes,Logistics,2023-09,94303.36,7.0,12992.0,50.81,0.0,False,284.394
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Electronics,Delivered,239,11.46,11.28,4.0,Yes,Maintenance,2022-09,2695.92,16.0,3824.0,11.280000000000001,1.5747844320924206e-14,False,131.312
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,Logistics,2022-02,46382.420000000006,19.0,19133.0,46.06,0.0,False,213.299
PO-00050,Alpha_Inc,2023-04-16,2022-02-13,Raw Materials,Pending,736,16.2,15.33,18.0,Yes,Finance,2023-04,11282.88,10.776811594202899,7931.733333333334,15.329999999999998,-1.1587454921071431e-14,False,329.065
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Food Products,Delivered,1007,22.56,19.59,74.8034321372855,Yes,Finance,2023-07,19727.13,10.0,10070.0,19.59,0.0,False,226.695
PO-00052,Delta_Logistics,2022-05-08,2022-02-13,MRO,Delivered,612,20.99,19.75,102.0,Yes,Finance,2022-05,12087.0,10.776811594202899,6595.408695652174,19.75,0.0,False,302.511
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,Office Supplies,Pending,1949,72.53,63.26,48.0,No,Finance,2023-01,123293.73999999999,10.0,19490.0,63.26,0.0,False,268.947
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Electronics,Cancelled,1640,77.92,76.41,262.0,No,Maintenance,2022-03,125312.4,6.0,9840.0,76.41,0.0,False,127.511
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Food Products,Delivered,1317,68.13,60.52,136.0,Yes,Procurement,2023-07,79704.84000000001,18.0,23706.0,60.52000000000001,1.174062683014045e-14,False,226.695
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,MRO,Delivered,881,100.94,95.05,30.0,Yes,Production,2022-10,83739.05,2.0,1762.0,95.05,0.0,False,313.525
PO-00057,Delta_Logistics,2023-10-06,2022-02-13,Metals,Delivered,1578,48.33,42.77,206.0,Yes,Finance,2023-10,67491.06,10.776811594202899,17005.808695652173,42.769999999999996,-1.6613110492403556e-14,False,316.875
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,Metals,Delivered,1204,39.29,35.44,74.8034321372855,Yes,Logistics,2023-09,42669.759999999995,5.0,6020.0,35.44,0.0,False,323.71
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,Food Products,Pending,1558,93.46,91.27,39.0,Yes,Finance,2023-01,142198.66,16.0,24928.0,91.27,0.0,False,268.915
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Manufacturing,Delivered,1892,32.99,28.81,35.0,Yes,Logistics,2023-08,54508.52,1.0,1892.0,28.81,0.0,False,330.359
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Services,Delivered,696,99.59,90.18,25.0,Yes,Logistics,2022-07,62765.280000000006,16.0,11136.0,90.18,0.0,False,104.209
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,Food Products,Partially Delivered,70,12.37,11.04,10.0,Yes,Finance,2023-12,772.8,11.0,770.0,11.04,0.0,False,190.589
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,Maintenance,2022-03,82894.6,2.0,1780.0,93.14,0.0,False,355.017
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,Metals,Delivered,216,13.95,12.31,5.0,Yes,Logistics,2022-02,2658.96,16.0,3456.0,12.31,0.0,False,394.696
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Metals,Delivered,1347,100.13,94.3,200.0,Yes,Logistics,2023-11,127022.09999999999,3.0,4041.0,94.3,0.0,False,314.569
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Electronics,Partially Delivered,437,59.51,56.45,25.0,No,Finance,2022-08,24668.65,3.0,1311.0,56.45,0.0,False,130.969
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Chemicals,Delivered,650,103.84,88.28,12.0,Yes,Logistics,2022-10,57382.0,2.0,1300.0,88.28,0.0,False,363.717
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Food Products,Delivered,365,16.81,15.41,38.0,Yes,Logistics,2022-03,5624.65,19.0,6935.0,15.409999999999998,-1.1527299412071709e-14,False,301.702
PO-00069,Epsilon_Group,2022-08-27,2022-02-13,Raw Materials,Cancelled,63,61.94,53.8,74.8034321372855,Yes,Finance,2022-08,3389.3999999999996,10.776811594202899,678.9391304347827,53.8,0.0,False,358.093
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,Services,Delivered,291,98.7,87.02,9.0,Yes,Finance,2022-04,25322.82,8.0,2328.0,87.02,0.0,False,104.613
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,Manufacturing,Cancelled,826,60.5,57.18,18.0,Yes,Production,2023-01,47230.68,14.0,11564.0,57.18,0.0,False,320.067
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Office Supplies,Pending,1419,69.64,59.28,194.0,Yes,Maintenance,2022-10,84118.32,20.0,28380.0,59.28000000000001,1.198621349122976e-14,False,252.599
PO-00073,Gamma_Co,2023-04-10,2023-04-27,MRO,Delivered,614,78.06,73.95,40.0,Yes,Maintenance,2023-04,45405.3,17.0,10438.0,73.95,0.0,False,326.473
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Metals,Delivered,947,56.25,54.25,19.0,Yes,Logistics,2023-10,51374.75,15.0,14205.0,54.25,0.0,False,316.875
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Metals,Delivered,1413,70.47,69.65,74.8034321372855,Yes,Maintenance,2023-01,98415.45000000001,19.0,26847.0,69.65,0.0,False,323.534
PO-00076,Alpha_Inc,2022-06-16,2022-02-13,Food Products,Partially Delivered,141,64.15,58.32,74.8034321372855,Yes,Logistics,2022-06,8223.12,10.776811594202899,1519.5304347826088,58.32000000000001,1.2183517417011321e-14,False,322.742
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Metals,Delivered,1440,96.57,83.87,36.0,Yes,Production,2023-01,120772.8,20.0,28800.0,83.87,0.0,False,323.534
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,74.8034321372855,No,Finance,2022-12,12853.949999999999,4.0,4020.0,12.79,0.0,False,332.219
PO-00079,Alpha_Inc,2022-08-03,2022-02-13,Office Supplies,Delivered,1528,36.52,33.0,31.0,No,Finance,2022-08,50424.0,10.776811594202899,16466.96811594203,33.0,0.0,False,254.138
PO-00080,Gamma_Co,2023-11-18,2023-11-25,Manufacturing,Delivered,1501,106.05,100.99,77.0,No,Finance,2023-11,151585.99,7.0,10507.0,100.99,0.0,False,332.007
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Metals,Delivered,558,94.18,81.4,74.8034321372855,No,Maintenance,2022-10,45421.200000000004,3.0,1674.0,81.4,0.0,False,336.866
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,Metals,Delivered,825,56.88,50.84,74.8034321372855,Yes,Production,2023-12,41943.0,6.0,4950.0,50.84,0.0,False,325.503
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Packaging,Cancelled,84,73.38,71.42,9.0,Yes,Maintenance,2023-12,5999.28,6.0,504.0,71.42,0.0,False,283.711
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Packaging,Delivered,255,38.64,33.59,27.0,No,Maintenance,2023-10,8565.45,15.0,3825.0,33.59,0.0,False,284.458
PO-00085,Gamma_Co,2022-03-15,2022-03-31,Raw Materials,Delivered,1154,27.2,26.07,58.0,Yes,Production,2022-03,30084.78,16.0,18464.0,26.07,0.0,False,355.017
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,Production,2023-09,88894.95,8.0,13080.0,54.37,0.0,False,190.761
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,Services,Partially Delivered,1461,64.09,63.39,228.0,No,Production,2022-06,92612.79,15.0,21915.0,63.38999999999999,-1.120906666288216e-14,False,104.27
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,Finance,2023-07,17329.0,8.0,8600.0,16.12,0.0,False,134.094
PO-00090,Alpha_Inc,2022-09-08,2022-02-13,Chemicals,Delivered,1071,101.6,93.91,25.0,Yes,Procurement,2022-09,100577.61,10.776811594202899,11541.965217391305,93.91,0.0,False,367.861
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Services,Pending,1463,101.23,86.17,43.0,Yes,Procurement,2022-06,126066.71,19.0,27797.0,86.17,0.0,False,104.27
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,MRO,Delivered,615,78.3,73.68,69.0,Yes,Production,2023-04,45313.200000000004,7.0,4305.0,73.68,0.0,False,326.473
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Chemicals,Delivered,1179,61.74,56.28,74.8034321372855,Yes,Procurement,2023-01,66354.12,18.0,21222.0,56.279999999999994,-1.2625137451316633e-14,False,345.017
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Metals,Partially Delivered,1845,39.56,37.63,45.0,Yes,Procurement,2022-10,69427.35,5.0,9225.0,37.63,0.0,False,336.866
PO-00095,Beta_Supplies,2023-10-18,2022-02-13,Manufacturing,Cancelled,1895,91.98,86.27,170.0,Yes,Production,2023-10,163481.65,10.776811594202899,20422.057971014492,86.27,0.0,False,332.699
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,Electronics,Partially Delivered,1550,79.86,69.57,32.0,No,Procurement,2023-12,107833.49999999999,3.0,4650.0,69.57,0.0,False,134.879
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Electronics,Delivered,752,26.85,24.37,74.8034321372855,No,Maintenance,2023-07,18326.24,10.0,7520.0,24.37,0.0,False,134.094
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Metals,Delivered,451,95.2,90.07,21.0,Yes,Logistics,2022-08,40621.57,19.0,8569.0,90.07,0.0,False,374.122
PO-00099,Beta_Supplies,2023-12-03,2022-02-13,Metals,Delivered,779,93.69,90.92,66.0,Yes,Logistics,2023-12,70826.68000000001,10.776811594202899,8395.136231884058,90.92000000000002,1.5630064578972726e-14,False,325.503
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,Electronics,Pending,1629,100.26,86.44,187.0,No,Production,2022-11,140810.76,15.0,24435.0,86.44000000000001,1.6440137338271638e-14,False,132.147
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Food Products,Delivered,211,75.69,65.4,2.0,Yes,Finance,2022-02,13799.400000000001,0.0,0.0,65.4,0.0,False,260.151
PO-00102,Alpha_Inc,2022-08-23,2022-02-13,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,Production,2022-08,16184.480000000001,10.776811594202899,2704.9797101449276,64.48,0.0,False,254.138
PO-00103,Gamma_Co,2022-02-02,2022-02-18,MRO,Delivered,1045,47.88,44.65,69.0,Yes,Finance,2022-02,46659.25,16.0,16720.0,44.65,0.0,False,290.327
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,Office Supplies,Delivered,319,98.64,89.15,57.0,Yes,Logistics,2022-11,28438.850000000002,20.0,6380.0,89.15,0.0,False,264.353
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Metals,Partially Delivered,1936,93.66,92.24,58.0,Yes,Production,2023-02,178576.63999999998,14.0,27104.0,92.24,0.0,False,332.616
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,Packaging,Cancelled,865,14.7,13.14,135.0,No,Maintenance,2022-10,11366.1,20.0,17300.0,13.14,0.0,False,290.607
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Metals,Delivered,1344,12.5,10.87,44.0,Yes,Procurement,2022-03,14609.279999999999,3.0,4032.0,10.87,0.0,False,397.639
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Food Products,Pending,505,45.42,40.37,62.0,Yes,Finance,2022-08,20386.85,19.0,9595.0,40.37,0.0,False,274.406
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Manufacturing,Delivered,1535,90.83,78.28,151.0,No,Procurement,2023-08,120159.8,1.0,1535.0,78.28,0.0,False,330.359
PO-00110,Beta_Supplies,2022-11-19,2022-02-13,Electronics,Delivered,1800,103.8,96.27,166.0,Yes,Procurement,2022-11,173286.0,10.776811594202899,19398.260869565216,96.27,0.0,False,132.147
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Office Supplies,Pending,1325,24.36,22.75,206.0,Yes,Production,2022-08,30143.75,9.0,11925.0,22.75,0.0,False,254.138
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Packaging,Delivered,1066,70.45,65.88,56.0,No,Procurement,2023-11,70228.08,6.0,6396.0,65.88,0.0,False,284.54
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Food Products,Delivered,1775,47.82,45.86,180.0,Yes,Maintenance,2023-05,81401.5,15.0,26625.0,45.86,0.0,False,257.526
PO-00114,Gamma_Co,2023-02-10,2022-02-13,Manufacturing,Partially Delivered,345,103.62,98.09,25.0,No,Procurement,2023-02,33841.05,10.776811594202899,3718.0,98.09,0.0,False,321.077
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,MRO,Delivered,1798,94.8,91.83,74.8034321372855,Yes,Production,2023-10,165110.34,19.0,34162.0,91.83,0.0,False,332.699
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,Raw Materials,Delivered,769,91.86,86.55,17.0,Yes,Maintenance,2023-04,66556.95,16.0,12304.0,86.55,0.0,False,329.065
PO-00117,Alpha_Inc,2022-05-27,2022-02-13,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,Logistics,2022-05,86526.78,10.776811594202899,19635.350724637683,47.49,0.0,False,285.258
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,MRO,Delivered,387,49.23,45.41,61.0,Yes,Procurement,2022-09,17573.67,14.0,5418.0,45.41,0.0,False,312.08
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,Metals,Delivered,928,35.3,32.52,26.0,Yes,Production,2022-05,30178.56,4.0,3712.0,32.52,0.0,False,424.725
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,MRO,Partially Delivered,1126,15.68,14.97,27.0,Yes,Logistics,2022-09,16856.22,11.0,12386.0,14.97,0.0,False,312.08
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Services,Cancelled,841,95.73,85.33,81.0,Yes,Logistics,2023-07,71762.53,16.0,13456.0,85.33,0.0,False,106.039
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Office Supplies,Delivered,1995,90.65,77.75,206.0,Yes,Finance,2023-07,155111.25,13.0,25935.0,77.75,0.0,False,204.108
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Food Products,Delivered,266,103.97,101.44,6.0,Yes,Maintenance,2022-09,26983.04,18.0,4788.0,101.44,0.0,False,290.946
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,MRO,Cancelled,813,109.17,107.39,14.0,Yes,Procurement,2023-08,87308.07,3.0,2439.0,107.39000000000001,1.3232940418290347e-14,False,330.359
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Services,Delivered,237,64.19,59.01,7.0,Yes,Production,2023-03,13985.369999999999,11.0,2607.0,59.01,0.0,False,105.375
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Services,Cancelled,429,86.73,75.09,9.0,Yes,Finance,2023-08,32213.61,13.0,5577.0,75.09,0.0,False,106.175
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,MRO,Delivered,542,101.21,93.11,78.0,No,Maintenance,2023-02,50465.62,1.0,542.0,93.11,0.0,False,321.077
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Metals,Delivered,1114,91.66,85.53,35.0,Yes,Finance,2023-01,95280.42,18.0,20052.0,85.53,0.0,False,323.534
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,Metals,Delivered,1230,33.39,30.85,26.0,Yes,Maintenance,2022-08,37945.5,2.0,2460.0,30.85,0.0,False,374.122
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,Office Supplies,Delivered,64,51.56,50.88,5.0,Yes,Maintenance,2022-05,3256.32,12.0,768.0,50.88,0.0,False,221.341
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,Services,Delivered,1886,23.46,23.18,74.8034321372855,Yes,Procurement,2023-06,43717.479999999996,16.0,30176.0,23.179999999999996,-1.53266336445233e-14,False,105.706
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Chemicals,Delivered,114,103.53,101.54,14.0,Yes,Maintenance,2023-05,11575.560000000001,2.0,228.0,101.54,0.0,False,306.323
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,Electronics,Pending,1912,30.73,29.82,191.0,Yes,Maintenance,2022-02,57015.840000000004,10.0,19120.0,29.82,0.0,False,126.76
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,Services,Delivered,570,71.51,66.47,74.8034321372855,Yes,Procurement,2022-04,37887.9,16.0,9120.0,66.47,0.0,False,104.613
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Office Supplies,Delivered,1417,67.27,60.62,74.8034321372855,Yes,Procurement,2022-06,85898.54,20.0,28340.0,60.62,0.0,False,243.575
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Services,Delivered,1202,46.67,44.13,21.0,No,Finance,2023-10,53044.26,6.0,7212.0,44.13,0.0,False,106.213
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Chemicals,Delivered,697,20.73,19.83,78.0,No,Logistics,2022-06,13821.509999999998,1.0,697.0,19.83,0.0,False,387.485
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,Packaging,Delivered,1545,78.19,76.91,42.0,Yes,Logistics,2023-11,118825.95,3.0,4635.0,76.91,0.0,False,284.54
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,Maintenance,2023-03,66172.0,4.0,4544.0,58.25,0.0,False,323.293
